city_id,city_name,total,from_0_to_9,from_10_to_19,from_20_to_29,from_30_to_39,from_40_to_49,from_50_to_59,from_60_to_69,from_70_to_79,from_80_to_older
160020,Calçoene,11117,2497,2098,1889,1608,1308,961,511,176,69
160021,Cutias,5983,1408,1240,1116,816,618,424,220,93,48
160023,Ferreira Gomes,7780,1765,1462,1452,1053,920,570,346,148,64
160025,Itaubal,5503,1226,1096,1030,797,568,390,230,111,55
160027,Laranjal do Jari,50410,10290,10603,9729,7579,5493,3638,1918,821,339
160030,Macapá,503327,89336,96771,96208,85634,62644,38248,21069,9097,4320
160040,Mazagão,21632,5227,4608,3986,2885,2088,1414,814,423,187
160050,Oiapoque,27270,6122,5645,5241,4287,3054,1809,795,239,78
160015,Pedra Branca do Amapari,16502,3749,3386,3030,2699,1718,1041,561,232,86
160053,Porto Grande,21971,4744,4482,4067,3060,2542,1733,867,344,132
160055,Pracuúba,5120,1402,1077,863,720,524,273,160,69,32
160060,Santana,121364,22661,23500,23599,20332,14071,8521,5042,2490,1148
160005,Serra do Navio,5397,1065,1060,977,817,680,443,242,88,25
160070,Tartarugalzinho,17315,4186,3462,3098,2195,1702,1321,838,364,149
160080,Vitória do Jari,15931,3479,3184,3127,2347,1684,1082,595,291,142
170025,Abreulândia,2579,464,440,385,381,342,257,201,82,27
170030,Aguiarnópolis,6733,1368,1338,1220,1155,769,395,269,147,72
170035,Aliança do Tocantins,5390,717,785,907,738,765,613,453,270,142
170040,Almas,7055,1303,1205,1191,937,829,684,482,290,134
170070,Alvorada,8412,1125,1385,1391,1323,1181,923,595,337,152
170100,Ananás,9549,1687,1617,1604,1402,1237,856,569,385,192
170105,Angico,3433,552,541,587,505,440,359,231,141,77
170110,Aparecida do Rio Negro,4795,880,749,739,738,640,457,316,189,87
170130,Aragominas,5758,930,825,860,779,801,705,521,256,81
170190,Araguacema,7086,1112,1131,1239,1002,905,809,515,254,119
170200,Araguaçu,8517,1019,1133,1256,1252,1359,1081,760,437,220
170210,Araguaína,180470,27360,33003,33589,32101,23096,15001,9191,4816,2313
170215,Araguanã,5729,1060,963,1046,780,697,564,346,188,85
170220,Araguatins,35761,6683,6443,6350,5474,4248,2983,1950,1113,517
170230,Arapoema,6643,1029,1052,1211,944,891,667,480,256,113
170240,Arraias,10567,1679,1563,1931,1586,1340,1042,772,424,230
170255,Augustinópolis,18412,3314,3260,3342,3121,2100,1409,995,598,273
170270,Aurora do Tocantins,3757,534,561,566,578,552,408,276,193,89
170290,Axixá do Tocantins,9756,1734,1722,1726,1513,1154,852,542,336,177
